Acceleration  X,Acceleration  Y,Acceleration  Z, Aggregated Acceleration Value
Acceleration  X,Acceleration  Y,Acceleration  Z, Aggregated Acceleration Value
2.3064,-3.1869,8.7473,9.6010
2.2777,-3.1773,8.6803,9.5297
2.3064,-3.2156,8.7090,9.5757
2.2682,-3.1869,8.6898,9.5394
2.2586,-3.1773,8.6611,9.5077
2.2682,-3.1773,8.6803,9.5274
2.2873,-3.1486,8.6898,9.5312
2.3160,-3.1391,8.8238,9.6575
2.3639,-3.1391,8.7855,9.6341
2.3447,-3.1104,8.7568,9.5938
2.3352,-3.0912,8.7568,9.5853
2.3064,-3.1199,8.7186,9.5526
2.3160,-3.1008,8.6994,9.5312
2.3352,-3.1295,8.7473,9.5890
2.3734,-3.1104,8.7760,9.6184
2.3543,-3.1008,8.7281,9.5668
2.3256,-3.1104,8.6994,9.5367
2.3447,-3.1199,8.7377,9.5795
2.3543,-3.1104,8.7090,9.5525
2.3830,-3.1104,8.7281,9.5771
2.3734,-3.0529,8.7473,9.5737
2.3639,-3.0721,8.6994,9.5337
2.3926,-3.1199,8.7664,9.6175
2.2969,-3.2539,8.6898,9.5689
2.0480,-3.5410,8.0965,9.0804
2.0193,-3.6846,8.7951,9.7571
2.1055,-3.6654,8.6420,9.6302
2.1246,-3.6271,8.5941,9.5769
2.0959,-3.6176,8.5941,9.5669
2.1916,-3.5984,8.6611,9.6414
2.2107,-3.6080,8.6516,9.6407
2.1533,-3.5889,8.5846,9.5602
